,qCorn,qBarley,qOats,qSoy,qPeanut,qCottonSeed,qSunflowerSeed,qRice,qWheat,pCorn,pBarley,pOats, pSoy ,pPeanut, pCottonSeed ,pSunflowerSeed,pRice,pWheat,eCorn,eBarley,eOats,eSoy,ePeanuts,eCottonSeed,eSunflowerSeed,eRice,eWheat,eTotal,wCorn,wBarley,wOats,wSoy,wPeanuts,wCottonSeed,wSunflowerSeed,wRice,wWheat
1990/91,"6,034,000,000","381,000,000","406,000,000","1,282,536,000","2,993,661,322",5633842.934,"1,953,570,999","91,211,000","1,365,000,000",2.28,2.14,1.14, 5.74 ,0.347, 121.00 ,0.108,6.7,2.61,13757520000,815340000,462840000,7361756640,1038800479,681694995,210985667.8,611113700,3562650000,28502701481,0.482674248,0.02860571,0.016238461,0.258282768,0.036445685,0.023916856,0.007402304,0.021440554,0.124993415
1991/92,"6,331,000,000","401,000,000","360,000,000","1,356,588,000","3,558,534,201",6957069.908,"3,078,580,400","95,341,000","1,132,000,000",2.37,2.1,1.21, 5.58 ,0.283, 71.00 ,0.0869,7.58,3,15004470000,842100000,435600000,7569761040,1007065179,493951963.5,267528636.8,722684780,3396000000,29739161599,0.504535743,0.028316198,0.014647353,0.254538482,0.033863267,0.016609478,0.008995837,0.024300779,0.114192863
1992/93,"6,808,000,000","364,000,000","358,000,000","1,407,564,000","3,040,211,216",6133124.505,"2,836,202,000","94,603,000","1,128,000,000",2.07,2.04,1.32, 5.56 ,0.3, 97.50 ,0.0974,5.89,3.24,14092560000,742560000,472560000,7826055840,912063364.8,597979639.2,276246074.8,557211670,3654720000,29131956589,0.483749176,0.025489534,0.016221362,0.268641614,0.031308002,0.020526587,0.009482579,0.019127163,0.125453983
1993/94,"6,293,000,000","416,000,000","318,000,000","1,371,301,000","3,150,884,600",6119156.263,"2,402,948,769","97,958,000","1,240,000,000",2.5,1.99,1.36, 6.40 ,0.304, 113.00 ,0.129,7.98,3.26,15732500000,827840000,432480000,8776326400,957868918.4,691464657.8,309980391.1,781704840,4042400000,32552565207,0.483295246,0.025430868,0.013285589,0.269604756,0.029425298,0.02124148,0.009522457,0.024013617,0.12418069
1994/95,"7,175,000,000","401,000,000","326,000,000","1,554,652,000","3,306,155,050",7255406.036,"4,225,350,100","98,358,000","1,287,000,000",2.26,2.03,1.22, 5.48 ,0.289, 101.00 ,0.107,6.78,3.45,16215500000,814030000,397720000,8519492960,955478809.5,732796009.6,452112460.7,666867240,4440150000,33194147480,0.488504789,0.024523299,0.01198163,0.256656477,0.028784556,0.022076061,0.013620246,0.020089904,0.133763038
1995/96,"6,321,000,000","351,000,000","274,000,000","1,481,066,000","3,228,428,040",6790006.762,"3,335,877,265","104,928,000","1,140,000,000",3.24,2.89,1.67, 6.72 ,0.293, 106.00 ,0.115,9.15,4.55,20480040000,1014390000,457580000,9952763520,945929415.7,719740716.8,383625885.5,960091200,5187000000,40101160738,0.510709406,0.025295777,0.011410642,0.248191407,0.023588579,0.017948127,0.009566453,0.023941731,0.129347877
1996/97,"6,991,000,000","389,000,000","248,000,000","1,554,803,000","3,082,385,350",7020046.937,"3,289,760,038","101,605,000","1,301,000,000",2.71,2.74,1.96, 7.35 ,0.281, 126.00 ,0.117,9.96,4.3,18945610000,1065860000,486080000,11427802050,866150283.4,884525914.1,384901924.5,1011985800,5594300000,40667215972,0.465869363,0.026209318,0.011952625,0.28100773,0.02129849,0.021750343,0.009464674,0.024884561,0.137562896
1997/98,"7,287,000,000","316,000,000","256,000,000","1,751,790,000","2,944,912,000",6841039.023,"3,556,299,409","103,916,000","1,257,000,000",2.43,2.38,1.6, 6.47 ,0.283, 121.00 ,0.116,9.7,3.38,17707410000,752080000,409600000,11334081300,833410096,827765721.8,412530731.5,1007985200,4248660000,37533523049,0.471775857,0.020037554,0.010912911,0.301972221,0.02220442,0.022054037,0.010990994,0.026855598,0.113196408
1998/99,"7,314,000,000","330,000,000","264,000,000","1,790,852,000","3,013,586,912",5673911.597,"4,469,997,001","114,038,000","1,381,000,000",1.94,1.98,1.1, 4.93 ,0.284, 129.00 ,0.106,8.89,2.65,14189160000,653400000,290400000,8828900360,855858683.1,731934596.1,473819682.1,1013797820,3659650000,30696921141,0.462233979,0.021285522,0.009460232,0.287615175,0.027880929,0.023843909,0.015435414,0.033026042,0.119218797
1999/00,"7,578,000,000","302,000,000","248,000,000","1,743,249,000","3,425,370,036",6582608.258,"3,979,909,520","121,883,000","1,300,000,000",1.82,2.13,1.12, 4.63 ,0.254, 89.00 ,0.0753,5.93,2.48,13791960000,643260000,277760000,8071242870,870043989.3,585852134.9,299687186.8,722766190,3224000000,28486572371,0.484156529,0.022581165,0.009750559,0.283334996,0.030542249,0.020565905,0.010520296,0.025372171,0.113176129
2000/01,"7,799,000,000","294,000,000","257,000,000","1,807,921,812","3,090,776,720",6421830.909,"3,410,670,020","117,501,000","1,330,000,000",1.85,2.11,1.1, 4.54 ,0.274, 105.00 ,0.0689,5.61,2.62,14428150000,620340000,282700000,8207965024,846872821.3,674292245.4,234995164.4,659180610,3484600000,29439095866,0.490101668,0.021071979,0.009602876,0.278811722,0.028766944,0.022904652,0.007982418,0.022391333,0.118366407
2001/02,"7,911,000,000","260,000,000","220,000,000","1,869,036,553","3,399,973,313",7533121.378,"3,175,439,010","123,262,000","1,192,000,000",1.97,2.22,1.59, 4.38 ,0.234, 90.50 ,0.0962,4.25,2.78,15584670000,577200000,349800000,8186380103,795593755.3,681747484.7,305477232.8,523863500,3313760000,30318492076,0.514031831,0.019037886,0.011537513,0.270012772,0.026241205,0.022486194,0.010075608,0.017278679,0.109298312
2002/03,"7,903,000,000","238,000,000","222,000,000","1,746,167,899","3,507,797,876",5971351.405,"2,100,836,774","113,408,000","1,119,000,000",2.32,2.72,1.81, 5.53 ,0.1824, 101.00 ,0.121,4.49,3.56,18334960000,647360000,401820000,9656308482,639822332.6,603106491.9,254201249.7,509201920,3983640000,35030420477,0.523401083,0.018479938,0.011470602,0.275654941,0.018264763,0.01721665,0.007256586,0.014535992,0.113719446
2003/04,"8,330,000,000","229,000,000","217,000,000","1,638,771,439","3,420,544,520",6237519.049,"2,568,280,431","114,954,000","1,194,000,000",2.42,2.83,1.48, 7.34 ,0.1925, 117.00 ,0.121,8.08,3.4,20158600000,648070000,321160000,12028582365,658454820,729789728.7,310761932.1,928828320,4059600000,39843847166,0.5059401,0.016265247,0.008060467,0.301893096,0.016525885,0.018316247,0.007799496,0.023311713,0.101887752
2004/05,"8,842,000,000","261,000,000","210,000,000","1,888,887,700","3,540,404,232",7648936.158,"1,995,899,000","122,692,000","1,168,000,000",2.06,2.48,1.48, 5.74 ,0.189, 107.00 ,0.137,7.33,3.4,18214520000,647280000,310800000,10842215399,669136399.8,818436168.9,273438163,899332360,3971200000,36646358491,0.497034924,0.017662874,0.008481061,0.295860649,0.018259288,0.022333356,0.007461537,0.024540838,0.108365474
2005/06,"9,134,000,000","210,000,000","209,000,000","1,938,247,250","3,658,904,794",7639939.536,"3,126,132,000","119,832,000","1,151,000,000",2,2.53,1.63, 5.66 ,0.173, 96.00 ,0.121,7.65,3.42,18268000000,531300000,340670000,10970479435,632990529.3,733434195.5,378261972,916714800,3936420000,36708270932,0.497653513,0.014473577,0.00928047,0.298855793,0.017243812,0.01998008,0.010304543,0.024972977,0.107235233
2006/07,"9,081,000,000","211,000,000","199,000,000","1,964,780,131","3,568,720,527",6845029.552,"2,472,326,000","128,079,000","1,137,000,000",3.04,2.85,1.87, 6.43 ,0.177, 111.00 ,0.145,9.96,4.26,27606240000,601350000,372130000,12633536245,631663533.2,759798280.2,358487270,1275666840,4843620000,49082492168,0.562445768,0.012251823,0.007581726,0.257393944,0.012869427,0.015480027,0.007303771,0.025990262,0.098683253
2007/08,"10,300,000,000","199,000,000","195,000,000","1,896,934,943","3,483,856,694",5838002.749,"2,657,380,000","126,849,000","1,051,000,000",4.2,4.02,2.63, 10.10 ,0.205, 162.00 ,0.217,12.8,6.48,43260000000,799980000,512850000,19159042924,714190622.3,945756445.4,576651460,1623667200,6810480000,74402618652,0.581431148,0.010752041,0.006892903,0.257504954,0.009598998,0.012711333,0.007750419,0.021822716,0.091535488
2008/09,"10,159,000,000","234,000,000","184,000,000","1,767,812,429","3,422,834,528",4239160.94,"2,944,671,000","127,640,000","1,273,000,000",4.06,5.37,3.15, 9.97 ,0.23, 223.00 ,0.218,16.8,6.78,41245540000,1256580000,579600000,17625089913,787251941.5,945332889.6,641938278,2144352000,8630940000,73856625022,0.558454167,0.017013775,0.007847637,0.238639254,0.010659192,0.012799568,0.008691682,0.029033983,0.116860742
2009/10,"11,062,000,000","211,000,000","188,000,000","1,863,783,875","3,472,722,481",4050127.144,"2,845,920,000","124,435,000","1,129,000,000",3.55,4.66,2.02, 9.59 ,0.217, 158.00 ,0.151,14.4,4.87,39270100000,983260000,379760000,17873687366,753580778.4,639920088.8,429733920,1791864000,5498230000,67620136153,0.580745651,0.014540935,0.005616079,0.264324924,0.011144325,0.009463455,0.006355118,0.026498971,0.081310543
2010/11,"11,202,000,000","208,000,000","177,000,000","1,776,649,361","3,928,157,563",5545251.71,"2,602,130,000","136,921,000","1,081,000,000",5.18,3.86,2.52, 11.30 ,0.225, 161.00 ,0.233,12.7,5.7,58026360000,802880000,446040000,20076137778,883835451.7,892785525.3,606296290,1738896700,6161700000,89634931745,0.647363242,0.008957222,0.004976185,0.223976717,0.009860391,0.009960241,0.006764063,0.019399766,0.068742173
2011/12,"10,943,000,000","192,000,000","154,000,000","1,793,703,019","3,878,908,720",5520166.096,"1,969,504,000","110,810,000","1,176,000,000",6.22,5.35,3.49, 12.50 ,0.318, 260.00 ,0.291,14.5,7.24,68065460000,1027200000,537460000,22421287731,1233492973,1435243185,573125664,1606745000,8514240000,1.05414E+11,0.645695028,0.009744413,0.005098551,0.212696924,0.011701387,0.013615267,0.00543689,0.015242199,0.080769342
2012/13,"10,353,000,000","213,000,000","172,000,000","1,783,862,000","3,909,990,653",5594450.787,"2,405,185,000","119,041,000","1,389,000,000",6.89,6.43,3.89, 14.40 ,0.301, 252.00 ,0.254,15.1,7.77,71332170000,1369590000,669080000,25687612800,1176907187,1409801598,610916990,1797519100,10792530000,1.14846E+11,0.621110798,0.011925435,0.005825882,0.223669821,0.010247687,0.012275569,0.005319439,0.015651543,0.093973826
2013/14,"11,533,000,000","219,000,000","172,000,000","1,840,415,428","4,078,055,234",4249659.812,"2,040,725,000","124,359,000","1,259,000,000",4.46,6.06,3.75, 13.00 ,0.249, 246.00 ,0.214,16.3,6.87,51437180000,1327140000,645000000,23925400561,1015435753,1045416314,436715150,2027051700,8649330000,90508669478,0.568312188,0.014663126,0.007126389,0.264343744,0.01121921,0.011550455,0.00482512,0.022396216,0.095563553
2014/15,"11,881,000,000","194,000,000","148,000,000","2,018,322,218","3,954,206,053",4944214,"2,091,769,000","129,885,000","1,151,000,000",3.7,5.3,3.21, 10.10 ,0.22, 194.00 ,0.217,13.4,5.99,43959700000,1028200000,475080000,20385054403,869925331.7,959177516,453913873,1740459000,6894490000,76766000124,0.572645441,0.01339395,0.006188677,0.265547956,0.01133217,0.012494822,0.005912955,0.022672264,0.089811765
2015/16,"11,764,000,000","202,000,000","170,000,000","2,000,000,000","4,397,607,000",4138000,"2,614,000,000","121,000,000","1,176,000,000",3.61,5.52,2.12, 9.00 ,0.18, 230.00 ,0.19,13,4.89,42468040000,1115040000,360400000,18000000000,791569260,951740000,496660000,1573000000,5750640000,71507089260,0.593899716,0.015593419,0.00504006,0.251723293,0.011069801,0.013309729,0.006945605,0.021997819,0.080420558
