,qCorn,qBarley,qOats,qSoy,qPeanut,qCottonSeed,qSunflowerSeed,qRice,qWheat,pCorn,pBarley,pOats, pSoy ,pPeanut, pCottonSeed ,pSunflowerSeed,pRice,pWheat,eCorn,eBarley,eOats,eSoy,ePeanuts,eCottonSeed,eSunflowerSeed,eRice,eWheat,eTotal,wCorn,wBarley,wOats,wSoy,wPeanuts,wCottonSeed,wSunflowerSeed,wRice,wWheat
2003/04,"8,330,000,000","229,000,000","217,000,000","1,638,771,439","3,420,544,520",6237519.049,"2,568,280,431","114,954,000","1,194,000,000",2.5,1.99,1.36, 6.40 ,0.304, 113.00 ,0.129,7.98,3.26,20158600000,648070000,321160000,12028582365,658454820,729789728.7,310761932.1,928828320,4059600000,39843847166,0.5059401,0.016265247,0.008060467,0.301893096,0.016525885,0.018316247,0.007799496,0.023311713,0.101887752
2004/05,"8,842,000,000","261,000,000","210,000,000","1,888,887,700","3,540,404,232",7648936.158,"1,995,899,000","122,692,000","1,168,000,000",2.26,2.03,1.22, 5.48 ,0.289, 101.00 ,0.107,6.78,3.45,18214520000,647280000,310800000,10842215399,669136399.8,818436168.9,273438163,899332360,3971200000,36646358491,0.497034924,0.017662874,0.008481061,0.295860649,0.018259288,0.022333356,0.007461537,0.024540838,0.108365474
2005/06,"9,134,000,000","210,000,000","209,000,000","1,938,247,250","3,658,904,794",7639939.536,"3,126,132,000","119,832,000","1,151,000,000",3.24,2.89,1.67, 6.72 ,0.293, 106.00 ,0.115,9.15,4.55,18268000000,531300000,340670000,10970479435,632990529.3,733434195.5,378261972,916714800,3936420000,36708270932,0.497653513,0.014473577,0.00928047,0.298855793,0.017243812,0.01998008,0.010304543,0.024972977,0.107235233
2006/07,"9,081,000,000","211,000,000","199,000,000","1,964,780,131","3,568,720,527",6845029.552,"2,472,326,000","128,079,000","1,137,000,000",2.71,2.74,1.96, 7.35 ,0.281, 126.00 ,0.117,9.96,4.3,27606240000,601350000,372130000,12633536245,631663533.2,759798280.2,358487270,1275666840,4843620000,49082492168,0.562445768,0.012251823,0.007581726,0.257393944,0.012869427,0.015480027,0.007303771,0.025990262,0.098683253
2007/08,"10,300,000,000","199,000,000","195,000,000","1,896,934,943","3,483,856,694",5838002.749,"2,657,380,000","126,849,000","1,051,000,000",2.43,2.38,1.6, 6.47 ,0.283, 121.00 ,0.116,9.7,3.38,43260000000,799980000,512850000,19159042924,714190622.3,945756445.4,576651460,1623667200,6810480000,74402618652,0.581431148,0.010752041,0.006892903,0.257504954,0.009598998,0.012711333,0.007750419,0.021822716,0.091535488
2008/09,"10,159,000,000","234,000,000","184,000,000","1,767,812,429","3,422,834,528",4239160.94,"2,944,671,000","127,640,000","1,273,000,000",1.94,1.98,1.1, 4.93 ,0.284, 129.00 ,0.106,8.89,2.65,41245540000,1256580000,579600000,17625089913,787251941.5,945332889.6,641938278,2144352000,8630940000,73856625022,0.558454167,0.017013775,0.007847637,0.238639254,0.010659192,0.012799568,0.008691682,0.029033983,0.116860742
2009/10,"11,062,000,000","211,000,000","188,000,000","1,863,783,875","3,472,722,481",4050127.144,"2,845,920,000","124,435,000","1,129,000,000",1.82,2.13,1.12, 4.63 ,0.254, 89.00 ,0.0753,5.93,2.48,39270100000,983260000,379760000,17873687366,753580778.4,639920088.8,429733920,1791864000,5498230000,67620136153,0.580745651,0.014540935,0.005616079,0.264324924,0.011144325,0.009463455,0.006355118,0.026498971,0.081310543
2010/11,"11,202,000,000","208,000,000","177,000,000","1,776,649,361","3,928,157,563",5545251.71,"2,602,130,000","136,921,000","1,081,000,000",1.85,2.11,1.1, 4.54 ,0.274, 105.00 ,0.0689,5.61,2.62,58026360000,802880000,446040000,20076137778,883835451.7,892785525.3,606296290,1738896700,6161700000,89634931745,0.647363242,0.008957222,0.004976185,0.223976717,0.009860391,0.009960241,0.006764063,0.019399766,0.068742173
2011/12,"10,943,000,000","192,000,000","154,000,000","1,793,703,019","3,878,908,720",5520166.096,"1,969,504,000","110,810,000","1,176,000,000",1.97,2.22,1.59, 4.38 ,0.234, 90.50 ,0.0962,4.25,2.78,68065460000,1027200000,537460000,22421287731,1233492973,1435243185,573125664,1606745000,8514240000,1.05414E+11,0.645695028,0.009744413,0.005098551,0.212696924,0.011701387,0.013615267,0.00543689,0.015242199,0.080769342
2012/13,"10,353,000,000","213,000,000","172,000,000","1,783,862,000","3,909,990,653",5594450.787,"2,405,185,000","119,041,000","1,389,000,000",2.32,2.72,1.81, 5.53 ,0.1824, 101.00 ,0.121,4.49,3.56,71332170000,1369590000,669080000,25687612800,1176907187,1409801598,610916990,1797519100,10792530000,1.14846E+11,0.621110798,0.011925435,0.005825882,0.223669821,0.010247687,0.012275569,0.005319439,0.015651543,0.093973826
2013/14,"11,533,000,000","219,000,000","172,000,000","1,840,415,428","4,078,055,234",4249659.812,"2,040,725,000","124,359,000","1,259,000,000",2.42,2.83,1.48, 7.34 ,0.1925, 117.00 ,0.121,8.08,3.4,51437180000,1327140000,645000000,23925400561,1015435753,1045416314,436715150,2027051700,8649330000,90508669478,0.568312188,0.014663126,0.007126389,0.264343744,0.01121921,0.011550455,0.00482512,0.022396216,0.095563553
2014/15,"11,881,000,000","194,000,000","148,000,000","2,018,322,218","3,954,206,053",4944214,"2,091,769,000","129,885,000","1,151,000,000",2.06,2.48,1.48, 5.74 ,0.189, 107.00 ,0.137,7.33,3.4,43959700000,1028200000,475080000,20385054403,869925331.7,959177516,453913873,1740459000,6894490000,76766000124,0.572645441,0.01339395,0.006188677,0.265547956,0.01133217,0.012494822,0.005912955,0.022672264,0.089811765
2015/16,"11,764,000,000","202,000,000","170,000,000","2,000,000,000","4,397,607,000",4138000,"2,614,000,000","121,000,000","1,176,000,000",2,2.53,1.63, 5.66 ,0.173, 96.00 ,0.121,7.65,3.42,42468040000,1115040000,360400000,18000000000,791569260,951740000,496660000,1573000000,5750640000,71507089260,0.593899716,0.015593419,0.00504006,0.251723293,0.011069801,0.013309729,0.006945605,0.021997819,0.080420558
